"ID","id","Value Name","Key","Short Name"
"1k9ca6q1cg","89","Hectare","u","ha"
"1k9p5cb5nf","88","ExaHash per second","u","EH/s"
"1k988dm0ro","87","TeraHash per second","u","TH/s"
"1k8385hn6f","86","Basis points","u","bps"
"1k8tripbei","85","Therm","u","thm"
"1k8go7lpqn","84","watt","u","W"
"1k8bknous5","83","Twenty-foot equivalent","u","TEU"
"1k8er7ojks","82","Petajoule","u","PJ"
"1k8dddvgv2","81","Terajoule","u","TJ"
"1k7ki7t76l","80","Gigajoule","u","GJ"
"1k73tlmrjg","79","Hundred cubic feet","u","ccf"
"1k7n52d2j1","78","Thousand linear feet","u","mlf"
"1k7l8ln33n","77","Thousand square feet","u","msf"
"1k70oltagn","76","Thousand board feet","u","mbf"
"1k7l5opjof","75","Hydraulic horsepower","u","hhp"
"1k74m53g1s","74","Dry Metric Tonne","u","dmt"
"1k6q509agp","73","Wet Metric Tonne","u","wmt"
"1k6bbvjh1e","72","Long Tonne","u","long ton"
"1k6ivvishc","71","Short Tonne","u","short ton"
"1k67kb4vog","70","Gigacalorie","u","gcal"
"1k68jcflal","69","Ounce","u","oz"
"1k62u548nv","68","Hundredweight","u","cwt"
"1k5ffn0rtk","67","Bushels","u","bu"
"1k5s2qcl64","66","Joule","u","J"
"1k5l6c9c3m","65","kilocalorie","u","kcal"
"1k56bqt2g7","64","GEO","u","GEO"
"1k538q3m42","63","Sq KM","u","Sq KM"
"1k5retdpbc","62","Ntk","u","Ntk"
"1k50fsnnpl","61","Carat","u","Carat"
"1k4sa640ln","60","Metres","u","Metres"
"1k4q3p9i56","59","sq mt","u","sq mt"
"1k46q6d0h7","58","feet","u","feet"
"1k4jbmtkg6","57","troy ounce","u","ozt"
"1k4qk00h3b","56","kgs","u","kgs"
"1k40f96cv7","55","grams","u","grams"
"1k3qnafivg","54","board feet","u","board feet"
"1k3b28811d","53","short green tons","u","short green tons"
"1k3ar78e5c","52","dwt","u","dwt"
"1k31gmekuq","51","hrs","u","hrs"
"1k3org347g","50","cubic yards","u","cubic yards"
"1k3mir2ha6","49","Dekatherms","u","Dekatherms"
"1k31vgou70","48","KWh","u","KWh"
"1k20efn41j","47","Gbps","u","Gbps"
"1k2de1fho4","46","MVA","u","MVA"
"1k21hk1hn0","45","Inches","u","Inches"
"1k2a7f7j2s","44","MWh","u","MWh"
"1k23gk450i","43","litres","u","litres"
"1k2sr8kbdl","42","cubic metres","u","cubic metres"
"1k1937sn7p","41","barrel miles","u","barrel miles"
"1k11iliqkg","40","km","u","km"
"1k19v6b9s1","38","Metric tons","u","Tons"
"1k1jvhkk5q","37","GWh","u","GWh"
"1k13ngkc29","36","cfe","u","cfe"
"1k1mnh4k9m","35","cf","u","cf"
"1k1c80i76v","34","btu","u","btu"
"1k0v5l8fdf","33","Gallons","u","Gallons"
"1k00f77oik","32","Acres","u","Acres"
"1k0vuoti35","31","boe","u","boe"
"1k0kpp5t25","30","mcfe","u","mcfe"
"1k0s9p5rl4","29","MW","u","MW"
"1k0f11jcnm","28","hl","u","hl"
"1jv4lu4sgd","27","Miles","u","Miles"
"1jv8ri17vn","24","mcf","u","mcf"
"1jvgt8cb7a","22","mmbtu","u","mmbtu"
"1jv0va1d5m","21","bpd","u","bpd"
"1jv42a1493","20","bbl","u","bbl"
"1jvv7mo8h7","19","Minutes","u","Minutes"
"1ju8e6r58k","16","lbs","u","lbs"
"1juk0o345b","15","Petabytes","u","Petabytes"
"1juhcbb5h8","14","MB","u","MB"
"1ju4vba9mo","13","Weeks","u","Weeks"
"1juenuffv4","12","Months","u","Months"
"1ju15u6ems","9","Ratio","u","x"
"1jtek8aeaq","8","sq ft","u","sq ft"
"1jtc803mlu","7","Person-Months","u","Person-Months"
"1jtlhb2a01","6","Number","u","#"
"1jt9h5rkdd","4","Years","u","Years"
"1jt1mjln8l","3","Days","u","Days"
"1jtsa30up2","2","Percent","u","%"
"1jsroa6irf","1","Amount","u","Amount"
