"ID","id","Value Name","Key","Short Name"
"1jknppp1d5","14","100 Million","scid","100M"
"1jks3iqvdr","13","1/100","scid","Pence"
"1jkvobu9v1","12","1/100","scid","Cents"
"1jk3ejkan2","11","lacs","scid","lacs"
"1jktlknu7a","10","Crores","scid","Cr"
"1jjktbchpt","9","Trillion","scid","T"
"1jjllbnlur","8","Billion","scid","B"
"1jj43jm0ol","7","Million","scid","M"
"1jj3esm8nk","4","Thousand","scid","K"
"1jjvu8h2eq","2","Percent","scid","%"
"1jjku9n3pr","6","Number","scid","#"
"1jjau7m4qs","42","cubic metres","scid","cubic metres"
"1jjtu6l5rt","59","sq mt","scid","sq mt"
"1jj2f5hhhq","1","Absolute","scid","Abs"
