id,cid,pid,p,ap,v,ciso,u,dt,yoypc,seqpc
18315_38_13001_FY-2040_validation,18315,38,FY-2040,,6.320425913161703,,9,E,,
18315_4449_13001_FY-2016,18315,4449,FY-2016,FY-2016,,XXX,9,A,,
18315_96_13001_FY-2027_validation,18315,96,FY-2027,,3.3360344145700145,,9,E,,
18315_36_13001_FY-2021_validation,18315,36,FY-2021,,,,9,,,
18315_72_13001_FY-2033_validation,18315,72,FY-2033,,,,9,,,
18315_91_13001_FY-2023_validation,18315,91,FY-2023,,,,9,,,
18315_203_13001_1HFY-2018,18315,203,1HFY-2018,1HFY-2018,11164800000.0,INR,1,A,,
18315_214_13001_1HFY-2022,18315,214,1HFY-2022,1HFY-2022,,INR,1,A,,
18315_214_13001_FY-2020,18315,214,FY-2020,FY-2020,,INR,1,A,,
18315_214_13001_4QFY-2019,18315,214,4QFY-2019,4QFY-2019,-14300000.0,INR,1,A,-16.02198223747531,
18315_30_13001_FY-2033_validation,18315,30,FY-2033,,12.003891329656321,,9,E,,
18315_31_13001_FY-2019_validation,18315,31,FY-2019,,3.177095595697179,,9,A,,
18315_32_13001_FY-2029_validation,18315,32,FY-2029,,4.1644865056362805,,9,E,,
18315_53_13001_FY-2026_validation,18315,53,FY-2026,,28.43638137498059,,9,E,,
18315_56_13001_FY-2022_validation,18315,56,FY-2022,,,,9,,,
18315_56_13001_FY-2038_validation,18315,56,FY-2038,,0.7658193980141422,,9,E,,
18315_56_13001_FY-2027_validation,18315,56,FY-2027,,3.3360344145700145,,9,E,,
18315_57_13001_FY-2032_validation,18315,57,FY-2032,,7.367295416138829,,9,E,,
18315_35_13001_FY-2036_validation,18315,35,FY-2036,,5.089088575103337,,9,E,,
18315_37_13001_FY-2030_validation,18315,37,FY-2030,,2.273008647755269,,9,E,,
18315_37_13001_FY-2029_validation,18315,37,FY-2029,,2.5388988675680344,,9,E,,
18315_58_13001_FY-2026_validation,18315,58,FY-2026,,3.071726427071373,,9,E,,
18315_59_13001_FY-2034_validation,18315,59,FY-2034,,,,9,,,
18315_100_13001_FY-2027_validation,18315,100,FY-2027,,19.799057088688635,,9,E,,
18315_103_13001_FY-2035_validation,18315,103,FY-2035,,5.916476190288112,,9,E,,
18315_39_13001_FY-2034_validation,18315,39,FY-2034,,6.29214823942372,,9,E,,
18315_41_13001_FY-2039_validation,18315,41,FY-2039,,8.331941188164068,,9,E,,
18315_69_13001_FY-2030_validation,18315,69,FY-2030,,1.5992591145729096,,9,E,,
18315_69_13001_FY-2040_validation,18315,69,FY-2040,,,,9,,,
18315_104_13001_FY-2021_validation,18315,104,FY-2021,,,,9,,,
18315_104_13001_FY-2030_validation,18315,104,FY-2030,,14.687198156733903,,9,E,,
18315_104_13001_FY-2033_validation,18315,104,FY-2033,,9.986976454631462,,9,E,,
18315_104_13001_FY-2018_validation,18315,104,FY-2018,,,,9,,,
18315_108_13001_FY-2027_validation,18315,108,FY-2027,,37.34828239548735,,9,E,,
18315_44_13001_FY-2027_validation,18315,44,FY-2027,,32.32096709765217,,9,E,,
18315_75_13001_FY-2024_validation,18315,75,FY-2024,,2.1492158277586375,,9,E,,
18315_75_13001_FY-2022_validation,18315,75,FY-2022,,,,9,A,,
18315_48_13001_FY-2040_validation,18315,48,FY-2040,,2.969801731872145,,9,E,,
18315_51_13001_FY-2029_validation,18315,51,FY-2029,,16.682126581480997,,9,E,,
18315_79_13001_FY-2039_validation,18315,79,FY-2039,,,,9,,,
18315_13741619_13001_4QFY-2017,18315,13741619,4QFY-2017,4QFY-2017,,INR,1,A,,
18315_13741621_13001_FY-2018,18315,13741621,FY-2018,FY-2018,3432100000.0,INR,1,A,,
18315_13741622_13001_FY-2027,18315,13741622,FY-2027,FY-2027,-1090098546.97963,INR,1,E,-52.36938558689369,-52.36938558689369
18315_13741623_13001_1HFY-2020,18315,13741623,1HFY-2020,1HFY-2020,1770600000.0,INR,1,A,3.5680861020121664,
18315_13741623_13001_FY-2017,18315,13741623,FY-2017,FY-2017,,INR,1,A,,
18315_13741625_13001_2QFY-2018,18315,13741625,2QFY-2018,2QFY-2018,215700000.0,INR,1,A,,-1.2362637362637363
18315_13741625_13001_3QFY-2027,18315,13741625,3QFY-2027,3QFY-2027,450856975.0,INR,1,E,3.650047128603614,0.1110230390014499
18315_13741627_13001_2QFY-2019,18315,13741627,2QFY-2019,2QFY-2019,4300000.0,INR,1,A,106.37037037037035,315.0
18315_13741634_13001_2QFY-2019,18315,13741634,2QFY-2019,2QFY-2019,6786800000.0,INR,1,A,6.3495048263758305,9.952207371405427
18315_13741636_13001_1HFY-2024,18315,13741636,1HFY-2024,1HFY-2024,13.53115302116308,INR,1,A,29.909513989214943,
18315_13741637_13001_1HFY-2024,18315,13741637,1HFY-2024,1HFY-2024,13.529032576853128,INR,1,A,29.964813946150105,
18315_13741644_13001_FY-2028,18315,13741644,FY-2028,FY-2028,7585292731.159855,INR,1,E,10.268319383311674,10.268319383311674
18315_13741649_13001_FY-2024,18315,13741649,FY-2024,FY-2024,17627700000.0,INR,1,A,4.526102322051185,4.526102322051185
18315_13741652_13001_1HFY-2024,18315,13741652,1HFY-2024,1HFY-2024,24870800000.0,INR,1,A,,
18315_13741657_13001_2QFY-2021,18315,13741657,2QFY-2021,2QFY-2021,,INR,1,A,,
